# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
-1.256440276580879001e+01,-3.343824247329334298e+02,1.685177718192447927e+01,5.711276195799856623e+02,2.620838805561502909e+02,2.170502658860509939e+02,4.549074031657510204e+02,-5.707941940831946113e+02,5.740752728903109983e+02,-6.299999999999998863e+02,-1.415031520705519199e+02,-5.316131300187194029e+02,-5.744042704442639433e+02,1.385043410249929821e+02,-4.179986495495522263e+02
-1.256442354623056268e+01,-3.343527216814986787e+02,1.687261037517116335e+01,5.711191794644170159e+02,2.619408943498298186e+02,2.170486346319019333e+02,4.548901664667807268e+02,-5.707845053444779069e+02,5.741219156509008599e+02,-6.300000000000000000e+02,-1.415086709073105169e+02,-5.316240135602105283e+02,-5.743990466662662584e+02,1.384922184681281578e+02,-4.179297877396718945e+02
-1.256443621662306853e+01,-3.343285512200948801e+02,1.688600986281286254e+01,5.711179603726623100e+02,2.618872205455537028e+02,2.170430321450407121e+02,4.548782548206276601e+02,-5.707640717420038072e+02,5.741766184934296007e+02,-6.300000000000000000e+02,-1.415055607930301562e+02,-5.316353960767132776e+02,-5.743926956078311150e+02,1.384978804742438285e+02,-4.178992275265301259e+02
-1.256444673140929780e+01,-3.343101722625412435e+02,1.689277274274957463e+01,5.711215054307032233e+02,2.618977915449645479e+02,2.170339246783267129e+02,4.548716537776771816e+02,-5.707405029536218990e+02,5.742198390494619389e+02,-6.300000000000000000e+02,-1.415016198808732213e+02,-5.316524553265039685e+02,-5.743951919483844222e+02,1.385053596986691673e+02,-4.179063649009415826e+02
-1.256445533474630238e+01,-3.343004805147027696e+02,1.689269202411134074e+01,5.711265087255227400e+02,2.619458657492383509e+02,2.170230325192784164e+02,4.548687062094637099e+02,-5.707191221491659689e+02,5.742292063804607096e+02,-6.299999999999998863e+02,-1.414991717087949610e+02,-5.316742733438948108e+02,-5.744067970920384596e+02,1.385062573607284833e+02,-4.179501427723159850e+02
-1.256446010304386718e+01,-3.343012786939524403e+02,1.688777322444075679e+01,5.711285306111137743e+02,2.619862475200122844e+02,2.170155471580134758e+02,4.548671979966518393e+02,-5.707074551722938622e+02,5.741975640572484281e+02,-6.299999999999998863e+02,-1.414980202402908276e+02,-5.316907344746862236e+02,-5.744177474632841722e+02,1.384984712181181976e+02,-4.180048557663325255e+02
-1.256446152563647445e+01,-3.343057494835992998e+02,1.688336085887906179e+01,5.711270530702119004e+02,2.619915326509597548e+02,2.170139139132427317e+02,4.548653430072660626e+02,-5.707051724362112282e+02,5.741597066549251167e+02,-6.300000000000000000e+02,-1.414969070842542465e+02,-5.316951276403882503e+02,-5.744193013378019259e+02,1.384898517030537448e+02,-4.180344970980981998e+02
-1.256446173415593925e+01,-3.343075195799591484e+02,1.688159960622090239e+01,5.711254795224248255e+02,2.619819377050833964e+02,2.170146578529897283e+02,4.548636761714064960e+02,-5.707053328592580783e+02,5.741436584049519070e+02,-6.300000000000000000e+02,-1.414959475419723844e+02,-5.316936076704694187e+02,-5.744160369860292121e+02,1.384863390140607464e+02,-4.180391566207210303e+02
-1.256446175367469209e+01,-3.343074349605485622e+02,1.688097077047936878e+01,5.711250010280724609e+02,2.619767537780485327e+02,2.170150843678202648e+02,4.548628577857261917e+02,-5.707050515907474164e+02,5.741408342930651543e+02,-6.300000000000000000e+02,-1.414956082052962927e+02,-5.316923801008503006e+02,-5.744139362611521165e+02,1.384857398830002353e+02,-4.180378873597499023e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
